Algorithm,ItemCount,Capacity,TotalValue,TotalWeight_Selected,TimeMS
动态规划法-内存超限跳过,45,1000000,0.00,0.00,0.00
贪心法,45,1000000,11293.48,2686.32,0.00
回溯法-跳过,45,1000000,0.00,0.00,0.00
蛮力法-跳过,50,10000,0.00,0.00,0.00
动态规划法 (2D),50,10000,13769.44,2526.89,218.00
贪心法,50,10000,13769.44,2526.89,0.00
回溯法-跳过,50,10000,0.00,0.00,0.00
蛮力法-跳过,50,100000,0.00,0.00,0.00
动态规划法 (2D),50,100000,13769.44,2526.89,2520.00
贪心法,50,100000,13769.44,2526.89,0.00
回溯法-跳过,50,100000,0.00,0.00,0.00
蛮力法-跳过,50,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,50,1000000,0.00,0.00,0.00
贪心法,50,1000000,13769.44,2526.89,0.00
回溯法-跳过,50,1000000,0.00,0.00,0.00
蛮力法-跳过,60,10000,0.00,0.00,0.00
动态规划法 (2D),60,10000,16024.73,3341.00,279.00
贪心法,60,10000,16024.73,3341.00,0.00
回溯法-跳过,60,10000,0.00,0.00,0.00
蛮力法-跳过,60,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,60,100000,0.00,0.00,0.00
贪心法,60,100000,16024.73,3341.00,0.00
回溯法-跳过,60,100000,0.00,0.00,0.00
蛮力法-跳过,60,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,60,1000000,0.00,0.00,0.00
贪心法,60,1000000,16024.73,3341.00,0.00
回溯法-跳过,60,1000000,0.00,0.00,0.00
蛮力法-跳过,70,10000,0.00,0.00,0.00
动态规划法 (2D),70,10000,17585.64,3481.60,302.00
贪心法,70,10000,17585.64,3481.60,0.00
回溯法-跳过,70,10000,0.00,0.00,0.00
蛮力法-跳过,70,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,70,100000,0.00,0.00,0.00
贪心法,70,100000,17585.64,3481.60,0.00
回溯法-跳过,70,100000,0.00,0.00,0.00
蛮力法-跳过,70,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,70,1000000,0.00,0.00,0.00
贪心法,70,1000000,17585.64,3481.60,0.00
回溯法-跳过,70,1000000,0.00,0.00,0.00
蛮力法-跳过,80,10000,0.00,0.00,0.00
动态规划法 (2D),80,10000,22029.68,3623.49,349.00
贪心法,80,10000,22029.68,3623.49,0.00
回溯法-跳过,80,10000,0.00,0.00,0.00
蛮力法-跳过,80,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,80,100000,0.00,0.00,0.00
贪心法,80,100000,22029.68,3623.49,0.00
回溯法-跳过,80,100000,0.00,0.00,0.00
蛮力法-跳过,80,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,80,1000000,0.00,0.00,0.00
贪心法,80,1000000,22029.68,3623.49,0.00
回溯法-跳过,80,1000000,0.00,0.00,0.00
蛮力法-跳过,90,10000,0.00,0.00,0.00
动态规划法 (2D),90,10000,23196.92,4390.22,389.00
贪心法,90,10000,23196.92,4390.22,0.00
回溯法-跳过,90,10000,0.00,0.00,0.00
蛮力法-跳过,90,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,90,100000,0.00,0.00,0.00
贪心法,90,100000,23196.92,4390.22,0.00
回溯法-跳过,90,100000,0.00,0.00,0.00
蛮力法-跳过,90,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,90,1000000,0.00,0.00,0.00
贪心法,90,1000000,23196.92,4390.22,0.00
回溯法-跳过,90,1000000,0.00,0.00,0.00
蛮力法-跳过,100,10000,0.00,0.00,0.00
动态规划法 (2D),100,10000,25512.69,4981.93,444.00
贪心法,100,10000,25512.69,4981.93,0.00
